Region,Date,Oil Moisture,Blood Pressure,Heart Rate,Oxygen Saturation,Telemedicine Consultations,AQI,Water Levels,Temperature,Agriculture Target,Healthcare Target,Environmental Target
Tamil Nadu,2024-01-01,18.981774237254186,142.97940328376094,62.9232624810806,97.66145937975728,8,161.7573238540899,4.30241369962806,19.475567725419523,1,1,1
Kerala,2024-01-02,13.476997753838134,104.3250601599204,84.89373058468985,95.51632504437524,7,76.52802984971382,1.2400327703560472,33.65072171604448,1,0,0
Uttar Pradesh,2024-01-03,15.449762358153384,104.27540366591552,99.24711347049178,95.86261938473181,5,230.36290909011342,2.5049175134447643,24.762088942027553,1,1,1
Kerala,2024-01-04,18.837490717659435,100.72650851409324,67.60430599134911,97.8398714865804,2,225.5383762101769,4.702332036761087,27.6089623131598,1,0,1
Kerala,2024-01-05,15.60857951470098,157.3900838979688,91.70380465153534,96.48178806756644,7,176.50970676529698,3.0121749902280857,29.685440610614307,1,1,1
Karnataka,2024-01-06,7.28808564371392,144.25050156754043,96.31595175118477,99.69157864325658,6,63.79928595340285,3.6484473032327167,22.42212182199078,0,1,0
Uttar Pradesh,2024-01-07,13.644325402502197,121.19508451012385,97.74806371280883,99.09370114742025,2,29.105465471126834,4.650397382365561,29.402033090782822,1,1,1
Uttar Pradesh,2024-01-08,14.100725695742838,117.79213487725931,98.40542417621789,99.91783603256832,8,19.27157275713777,4.495178761679522,28.519849795126802,1,1,1
Uttar Pradesh,2024-01-09,11.36196006953579,120.98219378475098,80.85838554885888,96.29835419475206,1,177.80881999286333,3.007281502162044,29.11318667747893,0,0,1
Kerala,2024-01-10,16.046663534370843,146.47921187087093,99.09231631966014,99.84861816398988,2,247.51059574284002,2.7505852106304083,24.78459800409226,1,1,1
Tamil Nadu,2024-01-11,19.01550522153522,139.68223666422486,90.29240828537755,97.15616934895779,1,257.4991295342775,2.3587704739183484,22.658747645832342,1,1,1
Uttar Pradesh,2024-01-12,18.883527693601643,111.11173407204808,66.46685744947848,96.73759397656877,0,139.08662230303494,3.8760777726515645,19.441643764179798,1,0,0
Kerala,2024-01-13,11.762590571061981,110.44656012004506,79.0760042587188,95.25174763484677,3,235.28138979201506,2.147947197886173,31.49252705601786,0,0,1
Karnataka,2024-01-14,6.698570687611329,105.90373898280384,88.73324701488016,95.26382628929801,4,284.06405890230707,1.9995504257236005,27.167000930633574,0,0,1
Tamil Nadu,2024-01-15,19.77261798443502,139.61816318208028,69.89361263276334,98.46005627973328,5,82.5510337464204,2.4249995784151204,23.8870439219499,1,0,0
Karnataka,2024-01-16,17.583471296689012,145.86235973330417,85.6246073419555,97.28964497217014,4,119.38810391422714,1.708860227515168,33.87991813421223,1,1,0
Tamil Nadu,2024-01-17,6.869940218049003,115.90278569950024,86.66401916186477,96.13260813018053,0,279.4436977790042,3.7804792637830693,15.956776250140777,0,0,1
Kerala,2024-01-18,18.812628239260583,101.25669766185477,66.50798975234264,98.06985153162617,2,101.46929019518545,3.464962597322449,32.00343890410095,1,0,0
Maharashtra,2024-01-19,18.048445430931924,104.93030004858564,82.60341249811026,96.26429059125056,0,274.1628870965389,2.9315141364633743,34.95165185891945,1,0,1
Tamil Nadu,2024-01-20,12.78257085689108,158.07160209070184,90.8650764391443,97.88815877172212,4,294.31345867633974,2.5613031170462186,32.73884221765735,1,1,1
Karnataka,2024-01-21,13.869131536173938,117.72668664864521,79.95582658143768,96.79604373491345,4,198.54321857232742,4.636250171586926,31.208731712312506,1,0,1
Kerala,2024-01-22,10.985040558051953,146.153388870288,60.4841246710443,99.11776113305909,5,245.06708685125048,1.1164951399564211,22.486119868126494,0,1,1
Tamil Nadu,2024-01-23,5.82142458233047,137.47981413125584,60.36153876317169,99.10348080383389,7,224.86366926632556,4.076430974029197,19.62628364524587,0,0,1
Maharashtra,2024-01-24,10.027958624688514,122.91637837917375,74.28117375880049,97.38675199061201,9,209.86027728465714,4.607638286995555,29.69701040999202,0,0,1
Maharashtra,2024-01-25,17.042801728970172,112.3412357317333,97.04776273727128,96.75409554667507,0,92.07932189436977,2.785418317719704,21.091507325771367,1,1,0
Uttar Pradesh,2024-01-26,5.069480345069043,107.28318508956438,69.14707118414435,96.81279898279547,3,17.128301372383113,3.202761965882587,18.520793643099413,0,0,0
Uttar Pradesh,2024-01-27,10.002487575367162,136.900778082332,85.37454755486749,99.0285726283411,9,102.91551975589518,4.777854751528151,30.730517742071825,0,0,1
